133,69,33,11,41,36,122,92,133,69,33,11,41,36,122,92
133,69,33,11,41,36,122,92,133,69,33,11,41,36,122,92
132,68,33,11,41,36,121,92,133,69,33,11,41,36,122,92
133,69,33,11,41,36,122,92,133,69,33,11,41,36,122,92
133,69,33,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
134,69,34,11,41,36,122,92,133,69,33,11,41,36,122,92
135,69,34,11,41,36,123,92,133,69,33,11,41,36,122,92
135,69,34,11,41,36,123,92,133,69,33,11,41,36,122,92
136,69,34,11,41,36,123,92,133,69,33,11,41,36,122,92
137,69,34,11,41,36,125,92,133,69,33,11,41,36,122,92
136,69,33,11,41,36,124,91,134,69,33,11,42,36,123,93
137,69,33,11,41,36,125,91,134,69,33,11,42,36,123,93
138,69,34,11,42,37,126,94,133,68,33,11,42,36,122,92
138,69,34,11,42,37,126,94,133,68,33,11,42,36,122,92
139,69,34,11,42,37,127,94,133,68,33,11,42,36,122,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
139,69,34,11,42,37,127,94,132,67,33,11,42,36,121,92
140,69,34,11,42,37,128,94,133,68,33,11,42,37,122,93
141,69,34,11,42,37,130,94,133,68,33,11,42,37,122,93
142,70,34,11,43,37,130,94,133,68,33,11,42,37,122,93
