108,62,24,7,33,31,87,66,108,62,24,7,33,31,87,66
108,62,24,7,33,31,87,66,109,62,24,7,33,31,88,66
108,62,24,7,33,31,87,66,109,62,24,7,33,31,88,66
108,62,24,7,33,31,87,66,109,62,24,7,33,31,88,66
108,62,24,7,33,31,87,66,110,63,24,7,33,31,89,66
108,62,24,7,33,31,87,66,110,63,24,7,33,31,89,66
107,61,24,7,32,31,85,66,110,63,24,7,33,31,89,66
107,61,24,7,32,31,85,66,110,63,24,7,33,31,89,66
107,61,24,7,32,31,85,66,111,64,24,7,33,32,91,69
107,61,24,7,32,31,85,66,111,64,24,7,33,32,91,69
106,60,24,7,31,30,84,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,111,64,24,7,33,32,91,69
105,59,24,7,31,30,83,65,110,63,24,7,33,32,90,69
105,59,24,7,31,30,83,65,111,63,25,7,33,33,94,72
106,60,24,7,31,30,83,65,111,63,25,7,33,33,94,72
106,60,24,7,31,30,83,65,110,62,25,7,33,33,93,71
106,60,24,7,31,30,83,65,110,62,25,7,33,33,93,71
106,60,24,7,31,30,83,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,111,63,25,7,33,34,94,73
107,60,24,8,31,30,84,65,112,64,25,7,33,34,95,73
107,60,24,8,31,30,84,65,112,64,25,7,33,34,95,73
108,61,24,8,32,30,85,65,112,64,25,7,33,34,95,73
