55.0,14.0,7.0,24.0,55.0,14.0,7.0,24.0
55.0,14.0,7.0,24.0,55.0,14.0,7.0,24.0
56.0,15.0,7.0,27.0,55.0,14.0,7.0,24.0
56.0,15.0,7.0,27.0,55.0,14.0,7.0,24.0
56.0,15.0,7.0,27.0,54.0,13.0,7.0,24.0
56.0,15.0,7.0,27.0,53.0,13.0,6.0,20.0
56.0,15.0,7.0,27.0,53.0,13.0,6.0,20.0
56.0,15.0,7.0,27.0,53.0,13.0,6.0,20.0
55.0,15.0,6.0,23.0,53.0,13.0,6.0,20.0
55.0,15.0,6.0,23.0,53.0,13.0,6.0,20.0
54.0,15.0,5.0,20.0,53.0,13.0,6.0,20.0
54.0,15.0,5.0,20.0,54.0,14.0,6.0,20.0
54.0,15.0,5.0,20.0,54.0,14.0,6.0,20.0
54.0,15.0,5.0,20.0,53.0,14.0,5.0,19.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
54.0,15.0,5.0,20.0,53.0,15.0,4.0,17.0
53.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
53.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
53.0,15.0,5.0,20.0,54.0,15.0,5.0,22.0
52.0,14.0,4.0,20.0,54.0,15.0,5.0,22.0
52.0,14.0,4.0,20.0,55.0,16.0,5.0,22.0
52.0,14.0,4.0,20.0,54.0,16.0,4.0,17.0
